schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,GitHub Organization API,https://github.com/hanxiaomax,hanxiaomax,,2026-09-05T09:02:45.471695
1.0,STARTUP,GitHub Organization API,https://github.com/ai03-2725,ai03-2725,,2026-09-05T09:02:45.471720
1.0,STARTUP,GitHub Organization API,https://github.com/AIwithhassan,AIwithhassan,,2026-09-05T09:02:45.471745
1.0,STARTUP,GitHub Organization API,https://github.com/AI-Maker-Space,AI-Maker-Space,,2026-09-05T09:02:45.471770
1.0,STARTUP,GitHub Organization API,https://github.com/naver-ai,naver-ai,,2026-09-05T09:02:45.471795
1.0,STARTUP,GitHub Organization API,https://github.com/AIDABGI,AIDABGI,,2026-09-05T09:02:45.471819
1.0,STARTUP,GitHub Organization API,https://github.com/AImaniadev,AImaniadev,,2026-09-05T09:02:45.471849
1.0,STARTUP,GitHub Organization API,https://github.com/aidenwallis,aidenwallis,,2026-09-05T09:02:45.471874
1.0,STARTUP,GitHub Organization API,https://github.com/ProgrammerAnthony,ProgrammerAnthony,,2026-09-05T09:02:45.471899
1.0,STARTUP,GitHub Organization API,https://github.com/aicyberg,aicyberg,,2026-09-05T09:02:45.471924
1.0,STARTUP,GitHub Organization API,https://github.com/moonshine-ai,moonshine-ai,,2026-09-05T09:02:45.471949
1.0,STARTUP,GitHub Organization API,https://github.com/01-ai,01-ai,,2026-09-05T09:02:45.471989
1.0,STARTUP,GitHub Organization API,https://github.com/aitboudad,aitboudad,,2026-09-05T09:02:45.472015
1.0,STARTUP,GitHub Organization API,https://github.com/girafe-ai,girafe-ai,,2026-09-05T09:02:45.472039
1.0,STARTUP,GitHub Organization API,https://github.com/aiko-chan-ai,aiko-chan-ai,,2026-09-05T09:02:45.472065
1.0,STARTUP,GitHub Organization API,https://github.com/aindrila2412,aindrila2412,,2026-09-05T09:02:45.472095
1.0,STARTUP,GitHub Organization API,https://github.com/luxfi,luxfi,,2026-09-05T09:02:45.472120
